"","title","price","price_without_discount","options","free_delivery_description","user_rating","number_of_user_ratings","units_sold_description"
"48","Motorola Moto G54 Dual-SIM 256GB ROM + 8GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Midnight Blue) - International Version","$162.50",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.3 out of 5 stars","1,111 ","300+ bought in past month"
"49","Nokia C210 | T-Mobile, AT&T, Cricket | Android 13 | Unlocked Smartphone | All Day Battery | US Version | 3/32GB | 6.3-Inch Screen | 13MP Dual Camera | Charcoal","$109.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.8 out of 5 stars","66 ","100+ bought in past month"
"50","OnePlus 12,16GB RAM+512GB,Dual-SIM,Unlocked Android Smartphone,Supports 50W Wireless Charging,Latest Mobile Processor,Advanced Hasselblad Camera,5400 mAh Battery,2024,Flowy Emerald","$749.99","$899.99","2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.5 out of 5 stars","544 ","200+ bought in past month"
"51","Motorola Moto G54 5G Dual SIM | 8+256GB ROM | GSM Unlocked Smartphone | 6.5"" 120Hz IPS LCD Display | Android 13 | 50MP Camera | Li-Po 6000 mAh Battery | International Model - (Blue)","$153.02","$194.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Thu, Oct 10","4.3 out of 5 stars","138 ","300+ bought in past month"
"52","TracFone | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black",NA,NA,NA,NA,"4.0 out of 5 stars","280 ","1K+ bought in past month"
"53","Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte","$349.99","$399.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.3 out of 5 stars","65 ","500+ bought in past month"
"54","Samsung Galaxy S20+ 5G 128GB Fully Unlocked Smartphone (Renewed)","$199.00","$259.72",NA,NA,"4.1 out of 5 stars","3,095 ","500+ bought in past month"
"55","SAMSUNG Galaxy S21 FE 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, 120Hz Display Screen, Pro Grade Camera, All Day Intelligent Battery, US Version, 2022, White","$343.35","$599.99","2 sizes",NA,"4.5 out of 5 stars","14,920 ","300+ bought in past month"
"56","Samsung S21 FE 5G 128GB Unlocked Android Smartphone Gray (Renewed)","$188.94",NA,"2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.9 out of 5 stars","1,048 ","500+ bought in past month"
"57","Motorola Moto G Stylus | 2022 | 2-Day Battery | Unlocked | Made for US 4/128GB | 50MP Camera | Twilight Blue | 4G RAM, 4G/3G cellular technology","$169.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.2 out of 5 stars","1,261 ","200+ bought in past month"
"58","Moto G Stylus 5G 2023, XT2315-4 , (128GB, 4GB) 6.6"", 50MP Dual Camera, Android 13, GSM Unlocked (Renewed)","$98.99","$109.99",NA,"FREE delivery Thu, Oct 10 Or fastest delivery Wed, Oct 9","4.0 out of 5 stars","45 ","100+ bought in past month"
"59","Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black","$173.16",NA,NA,"FREE delivery Oct 10 - 11 Or fastest delivery Wed, Oct 9","4.3 out of 5 stars","2,937 ","500+ bought in past month"
"60","Samsung Galaxy A13 5G Cell Phone, AT&T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)","$99.14",NA,NA,NA,"3.8 out of 5 stars","1,357 ","500+ bought in past month"
"61","Samsung Galaxy A14 5G A Series, Factory Unlocked, 64GB, US Version, Black (Renewed)","$103.88",NA,NA,NA,"3.7 out of 5 stars","803 ","2K+ bought in past month"
"62","Motorola Edge | 2021 | 2-Day battery | Unlocked | Made for US | 8/256GB | 108MP Camera | Nebula Blue","$199.99","$245.00","2 sizes",NA,"4.2 out of 5 stars","1,767 ","100+ bought in past month"
"63","BLU C5L MAX | 2024 | All-Day Battery | GSM Unlocked | 5.7” Display | 16/2GB |US Version | US Warranty | Black","$49.90",NA,"2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.6 out of 5 stars","262 ","200+ bought in past month"
"64","Motorola Moto G14 Dual SIM (2023) 4G LTE (4/128GB) 6.5"""" IPS LDC Display | Android 13 | 50MP Rear Camera | 5000mAh Battery | International Model - (Steel Gray), XT2341-2","$98.82","$149.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.8 out of 5 stars","43 ","400+ bought in past month"
"65","Total by Verizon Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)","$49.88",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.8 out of 5 stars","102 ","50+ bought in past month"
"66","OnePlus 9 Winter Mist, 5G Unlocked Android Smartphone U.S Version, 8GB RAM+128GB Storage, 120Hz Fluid Display, Hasselblad Triple Camera, 65W Ultra Fast Charge, 15W Wireless Charge, with Alexa Built-in","$188.89","$599.99",NA,NA,"4.1 out of 5 stars","1,047 ","500+ bought in past month"
"67","Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Green","$94.00","$99.84",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.1 out of 5 stars","142 ","100+ bought in past month"
"68","Apple iPhone 12, 128GB, Purple - Unlocked (Renewed)","$334.01","$365.00","3 sizes",NA,"4.1 out of 5 stars","26,037 ","300+ bought in past month"
"69","Total by Verizon | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black",NA,NA,NA,NA,"3.8 out of 5 stars","293 ","500+ bought in past month"
"70","Ulefone Note 18 Ultra, 5G Unlocked Smartphone, MTK Dimensity 720 12GB+256GB, 6.78'' FHD+ Corning Gorilla Screen, 50MP+32MP, 5450mAh(18W), Android 13, NFC/IR Blaster/Fingerprint ID/US Warranty, White","$189.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.2 out of 5 stars","30 ",NA
"71","Mini Phone, 2.5 Inch 3G Mini Smartphone 2GB RAM 16GB ROM Backup Cellphone Lightweight 5MP Student Cellphone Unlocked Quad Core","$39.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Thu, Oct 10","2.9 out of 5 stars","31 ","200+ bought in past month"
